video_ID,episode_path,fps,duration in frames,width,height,source,signer,text
10000060,./videos_1_avi/2_CiV14101_-_Pr_141_-_27-09-2022_Bl1_audio_00:00:23.000_00:24:50.000_signer02.avi,25,36675,242,236,2,2,./whisperx/2_CiV14101_-_Pr_141_-_27-09-2022_Bl1_audio_00:00:23.000_00:24:50.000_signer02.json
10000061,./videos_1_avi/2_CiV14102_-_Pr_141_-_27-09-2022_Bl2_audio_00:00:12.000_00:16:13.000_signer03.avi,25,24026,242,236,2,3,./whisperx/2_CiV14102_-_Pr_141_-_27-09-2022_Bl2_audio_00:00:12.000_00:16:13.000_signer03.json
10000062,./videos_1_avi/2_CiV14103_-_Pr_141_-_27-09-2022_Bl3_audio_00:00:21.000_00:21:51.500_signer03.avi,25,32263,242,236,2,3,./whisperx/2_CiV14103_-_Pr_141_-_27-09-2022_Bl3_audio_00:00:21.000_00:21:51.500_signer03.json
10000063,./videos_1_avi/2_CiV14104_-_Pr_141_-_27-09-2022_Bl4_audio_00:00:15.750_00:14:27.500_signer03.avi,25,21294,242,236,2,3,./whisperx/2_CiV14104_-_Pr_141_-_27-09-2022_Bl4_audio_00:00:15.750_00:14:27.500_signer03.json
10000064,./videos_1_avi/2_CiV14201_-_Pr_142_-_28-09-2022_Bl1_audio_00:00:24.500_00:23:15.000_signer02.avi,25,34263,242,236,2,2,./whisperx/2_CiV14201_-_Pr_142_-_28-09-2022_Bl1_audio_00:00:24.500_00:23:15.000_signer02.json
10000065,./videos_1_avi/2_CiV14202_-_Pr_142_-_28-09-2022_Bl2_audio_00:00:14.000_00:28:54.000_signer03.avi,25,43000,242,236,2,3,./whisperx/2_CiV14202_-_Pr_142_-_28-09-2022_Bl2_audio_00:00:14.000_00:28:54.000_signer03.json
10000066,./videos_1_avi/2_CiV14203_-_Pr_142_-_28-09-2022_Bl3_audio_00:00:13.000_00:22:25.500_signer03.avi,25,33313,242,236,2,3,./whisperx/2_CiV14203_-_Pr_142_-_28-09-2022_Bl3_audio_00:00:13.000_00:22:25.500_signer03.json
10000067,./videos_1_avi/2_CiV14204_-_Pr_142_-_28-09-2022_Bl4_audio_00:00:12.250_00:09:22.000_signer03.avi,25,13744,242,236,2,3,./whisperx/2_CiV14204_-_Pr_142_-_28-09-2022_Bl4_audio_00:00:12.250_00:09:22.000_signer03.json
10000068,./videos_1_avi/2_CiV14301_-_Pr_143_-_29-09-2022_Bl1_audio_00:00:23.750_00:19:38.000_signer02.avi,25,28857,230,236,2,2,./whisperx/2_CiV14301_-_Pr_143_-_29-09-2022_Bl1_audio_00:00:23.750_00:19:38.000_signer02.json
10000069,./videos_1_avi/2_CiV14302_-_Pr_143_-_29-09-2022_Bl2_audio_00:00:31.250_00:23:17.000_signer03.avi,25,34145,230,236,2,3,./whisperx/2_CiV14302_-_Pr_143_-_29-09-2022_Bl2_audio_00:00:31.250_00:23:17.000_signer03.json
10000070,./videos_1_avi/2_CiV14303_-_Pr_143_-_29-09-2022_Bl3_audio_00:00:29.500_00:24:29.250_signer03.avi,25,35995,230,236,2,3,./whisperx/2_CiV14303_-_Pr_143_-_29-09-2022_Bl3_audio_00:00:29.500_00:24:29.250_signer03.json
10000071,./videos_1_avi/2_CiV14401_-_Pr_144_-_30-09-2022_Bl1_audio_00:00:23.000_00:17:18.000_signer02.avi,25,25375,242,236,2,2,./whisperx/2_CiV14401_-_Pr_144_-_30-09-2022_Bl1_audio_00:00:23.000_00:17:18.000_signer02.json
10000072,./videos_1_avi/2_CiV14402_-_Pr_144_-_30-09-2022_Bl2_audio_00:00:14.500_00:20:16.750_signer03.avi,25,30058,242,236,2,3,./whisperx/2_CiV14402_-_Pr_144_-_30-09-2022_Bl2_audio_00:00:14.500_00:20:16.750_signer03.json
10000073,./videos_1_avi/2_CiV14403_-_Pr_144_-_30-09-2022_Bl3_audio_00:00:13.000_00:25:01.750_signer03.avi,25,37219,242,236,2,3,./whisperx/2_CiV14403_-_Pr_144_-_30-09-2022_Bl3_audio_00:00:13.000_00:25:01.750_signer03.json
10000074,./videos_1_avi/2_CiV14404_-_Pr_144_-_30-09-2022_Bl4_audio_00:00:18.000_00:15:50.000_signer03.avi,25,23301,242,236,2,3,./whisperx/2_CiV14404_-_Pr_144_-_30-09-2022_Bl4_audio_00:00:18.000_00:15:50.000_signer03.json
10000075,./videos_1_avi/2_CiV14501_-_Pr_145_-_03-10-2022_Bl1_audio_00:00:19.000_00:14:12.000_signer02.avi,25,20826,230,236,2,2,./whisperx/2_CiV14501_-_Pr_145_-_03-10-2022_Bl1_audio_00:00:19.000_00:14:12.000_signer02.json
10000076,./videos_1_avi/2_CiV14502_-_Pr_145_-_03-10-2022_Bl2_audio_00:00:11.000_00:20:15.500_signer03.avi,25,30114,230,236,2,3,./whisperx/2_CiV14502_-_Pr_145_-_03-10-2022_Bl2_audio_00:00:11.000_00:20:15.500_signer03.json
10000077,./videos_1_avi/2_CiV14503_-_Pr_145_-_03-10-2022_Bl3_audio_00:00:10.000_00:19:18.000_signer03.avi,25,28701,230,236,2,3,./whisperx/2_CiV14503_-_Pr_145_-_03-10-2022_Bl3_audio_00:00:10.000_00:19:18.000_signer03.json
10000078,./videos_1_avi/2_CiV14504_-_Pr_145_-_03-10-2022_Bl4_audio_00:00:10.000_00:19:28.000_signer03.avi,25,28951,230,236,2,3,./whisperx/2_CiV14504_-_Pr_145_-_03-10-2022_Bl4_audio_00:00:10.000_00:19:28.000_signer03.json
10000079,./videos_1_avi/2_IDC00402-Pr04-B2_audio_00:02:57.000_00:19:48.000_signer04.avi,25,25276,242,238,2,4,./whisperx/2_IDC00402-Pr04-B2_audio_00:02:57.000_00:19:48.000_signer04.json
10000080,./videos_1_avi/2_IDC00403-Pr04_B3_audio_00:00:14.000_00:03:30.000_signer04.avi,25,4900,242,238,2,4,./whisperx/2_IDC00403-Pr04_B3_audio_00:00:14.000_00:03:30.000_signer04.json
10000081,./videos_1_avi/2_IDC00501-Pr05Bl1_audio_00:00:12.000_00:01:00.000_signer04.avi,25,1201,242,238,2,4,./whisperx/2_IDC00501-Pr05Bl1_audio_00:00:12.000_00:01:00.000_signer04.json
10000082,./videos_1_avi/2_IDC00501-Pr05Bl1_audio_00:01:32.500_00:21:12.500_signer04.avi,25,29501,242,238,2,4,./whisperx/2_IDC00501-Pr05Bl1_audio_00:01:32.500_00:21:12.500_signer04.json
10000083,./videos_1_avi/2_IDC00502-Pr05Bl2_audio_00:00:11.000_00:20:44.000_signer04.avi,25,30826,242,238,2,4,./whisperx/2_IDC00502-Pr05Bl2_audio_00:00:11.000_00:20:44.000_signer04.json
10000084,./videos_1_avi/2_IDC00503-Pr05Bl3_audio_00:00:11.000_00:10:36.000_signer04.avi,25,15626,242,238,2,4,./whisperx/2_IDC00503-Pr05Bl3_audio_00:00:11.000_00:10:36.000_signer04.json
10000085,./videos_1_avi/2_IDC00601-Pr06Bl1_audio_00:00:11.000_00:17:31.000_signer04.avi,25,26001,242,238,2,4,./whisperx/2_IDC00601-Pr06Bl1_audio_00:00:11.000_00:17:31.000_signer04.json
10000086,./videos_1_avi/2_IDC00603-Pr06Bl3_audio_00:00:12.000_00:11:34.000_signer04.avi,25,17051,242,238,2,4,./whisperx/2_IDC00603-Pr06Bl3_audio_00:00:12.000_00:11:34.000_signer04.json
10000087,./videos_1_avi/2_LLC16701-Pr83-26-09-2022B1_audio_00:00:21.000_00:22:46.000_signer05.avi,25,33625,230,236,2,5,./whisperx/2_LLC16701-Pr83-26-09-2022B1_audio_00:00:21.000_00:22:46.000_signer05.json
10000088,./videos_1_avi/2_LLC16702-Pr83-26-09-2022B2_audio_00:00:08.250_00:20:43.000_signer05.avi,25,30870,230,236,2,5,./whisperx/2_LLC16702-Pr83-26-09-2022B2_audio_00:00:08.250_00:20:43.000_signer05.json
